analysis_id,vq4f09d8n10j4at
gene_accession_id,MGI:1339969
parameter_name,B Cells
mouse_strain,C57BL
parameter_id,IMPC_IMM_063_001
mouse_life_stage,Early adult
pvalue,0.8753282
gene_symbol,Gja10
