gene_symbol,Dnaaf9
mouse_life_stage,Early adult
analysis_id,6t75i73n2yh0jhh
parameter_name,Periphery average speed
pvalue,0.07629219
gene_accession_id,MGI:1923029
parameter_id,ESLIM_007_001_009
mouse_strain,C57BL
