analysis_id,7m87i254e966ux1
gene_symbol,Wars2
mouse_strain,C57BL
gene_accession_id,MGI:1917810
parameter_id,IMPC_DXA_003_001
pvalue,0.4701446
mouse_life_stage,E9.5
parameter_name,Lean mass
