parameter_name,HRV
pvalue,0.7654903
gene_symbol,Atrn
mouse_strain,C57BL
gene_accession_id,MGI:1341628
parameter_id,IMPC_ECG_010_001
mouse_life_stage,Early adult
analysis_id,2f7r3y6gw3w2izj
