gene_symbol,Traf6
analysis_id,t1h75aw07a1v489
mouse_strain,C57BL
parameter_name,Coat - color - abdomen
parameter_id,IMPC_CSD_007_001
pvalue,0.516269
gene_accession_id,MGI:108072
mouse_life_stage,Early adult
