parameter_id,JAXLA_CBC_015_001
pvalue,0.8500473
analysis_id,3xs3vt2d16krv1k
gene_symbol,Sla2
mouse_strain,C57BL
gene_accession_id,MGI:1925049
mouse_life_stage,Early adult
parameter_name,Total cholesterol
