analysis_id,013et2ayh7kd05j
gene_accession_id,MGI:1924054
gene_symbol,Kdm4c
pvalue,0.8594668
parameter_id,IMPC_CBC_003_001
mouse_strain,C57BL
parameter_name,Chloride
mouse_life_stage,Early adult
