parameter_name,Radius
gene_accession_id,MGI:2441730
analysis_id,1oqb60x3pb0b6ne
mouse_strain,C57BL
pvalue,0.4959851
gene_symbol,Tbl1xr1
parameter_id,IMPC_XRY_022_001
mouse_life_stage,Early adult
