parameter_name,Periphery average speed
mouse_strain,C57BL
gene_accession_id,MGI:1345282
parameter_id,HRWLLA_OFD_013_001
pvalue,0.7642007
analysis_id,bry2s8n6tj2kw50
gene_symbol,Slc30a4
mouse_life_stage,Late adult
