gene_symbol,Zcchc2
parameter_name,CD4+ KLRG1+ alpha beta T cell number
pvalue,0.4347728
gene_accession_id,MGI:2444114
parameter_id,MGP_PBI_032_001
mouse_strain,C57BL
analysis_id,5u8j6fhvl9bsei1
mouse_life_stage,Early adult
