parameter_id,JAXLA_OFD_017_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2446274
pvalue,0.7118977
analysis_id,0086y231xx1jdbl
parameter_name,Center average speed
gene_symbol,Frmpd1
