parameter_name,Embryo turning
analysis_id,o6v32492630q55c
mouse_strain,C57BL
pvalue,0.3614993
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_011_001
gene_accession_id,MGI:891989
gene_symbol,Npbwr1
