analysis_id,cb35iods868g50j
mouse_life_stage,Early adult
gene_accession_id,MGI:3650254
parameter_name,Total CD4+ T cells - % of ab T cells
pvalue,0.6999862
gene_symbol,Zfp683
parameter_id,MGP_IMM_004_001
mouse_strain,C57BL
