analysis_id,232dy34xyf95k6k
parameter_name,Hindlimb nail - number
gene_symbol,Trp53rkb
pvalue,0.08914753
gene_accession_id,MGI:1914050
mouse_strain,C57BL
parameter_id,IMPC_CSD_051_002
mouse_life_stage,Early adult
