gene_symbol,Arnt
parameter_name,HDL-cholesterol
mouse_life_stage,Early adult
pvalue,0.4282385
gene_accession_id,MGI:88071
analysis_id,tt4w1z8n1z2p014
parameter_id,IMPC_CBC_016_001
mouse_strain,C57BL
