analysis_id,4reakmt4eg4a5z8
mouse_strain,C57BL
parameter_id,MGP_IMM_011_001
parameter_name,Resting Treg cells - % of Treg
pvalue,0.6119244
mouse_life_stage,Early adult
gene_accession_id,MGI:1919137
gene_symbol,Ppm1j
