parameter_name,Blood Vessel Morphology
analysis_id,p6f54tbp69o3s57
gene_symbol,Kdm5b
pvalue,0.6583268
mouse_strain,C57BL
parameter_id,IMPC_GEO_011_001
gene_accession_id,MGI:1922855
mouse_life_stage,Early adult
