analysis_id,ch55j743a717r78
mouse_strain,C57BL
parameter_id,IMPC_ABR_008_001
gene_accession_id,MGI:2446186
parameter_name,18kHz-evoked ABR Threshold
mouse_life_stage,Early adult
pvalue,0.6282975
gene_symbol,Lpgat1
