analysis_id,mm29np65ql5i4s1
parameter_id,M-G-P_020_001_001
gene_accession_id,MGI:88174
parameter_name,Body Weight
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_symbol,Bmi1
pvalue,0.07592741
