analysis_id,h0h494e66m92219
mouse_life_stage,Early adult
pvalue,0.8272807
mouse_strain,C57BL
parameter_name,Coat colouration
gene_accession_id,MGI:1923029
parameter_id,M-G-P_026_001_004
gene_symbol,Dnaaf9
