analysis_id,jry6q4d352x92yw
gene_accession_id,MGI:1914256
pvalue,0.1334052
gene_symbol,Cisd2
parameter_id,MGP_IMM_129_001
parameter_name,CD11b-high cDC - % of CD45+
mouse_life_stage,Early adult
mouse_strain,C57BL
