gene_symbol,Dcaf10
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,xxlgma8ytj67onz
parameter_name,KLRG1+ CD4- NKT cells - % of CD4- NKT cells
pvalue,0.847392
gene_accession_id,MGI:2140179
parameter_id,MGP_IMM_028_001
