gene_symbol,LAMB3
mouse_strain,C57BL
pvalue,0.5137025
parameter_id,IMPC_CSD_030_001
parameter_name,Tremor
gene_accession_id,MGI:99915
analysis_id,k50267euvks79bf
mouse_life_stage,Early adult
