parameter_name,Hindpaw - size
analysis_id,80qbu54wqc367d4
parameter_id,JAXLA_CSD_041_002
mouse_strain,C57BL
gene_symbol,Lime1
pvalue,0.8600451
gene_accession_id,MGI:1919949
mouse_life_stage,Early adult
