parameter_name,Time mobile light side
parameter_id,JAX_LDT_003_001
mouse_strain,C57BL
gene_symbol,Bmi1
analysis_id,1b510677dbp81x0
gene_accession_id,MGI:88174
pvalue,0.6660444
mouse_life_stage,Early adult
