gene_symbol,Amigo1
parameter_name,Ly6Clow monocyte number
mouse_strain,C57BL
parameter_id,MGP_PBI_038_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2653612
pvalue,0.942635
analysis_id,q15f423t8e3faay
