parameter_id,HRWLLA_CSD_008_001
parameter_name,Coat - color pattern - back
mouse_strain,C57BL
pvalue,0.1567716
mouse_life_stage,Early adult
gene_symbol,Fgb
gene_accession_id,MGI:99501
analysis_id,416592ms4q7xs84
