gene_symbol,Etfdh
mouse_strain,C57BL
pvalue,0.4652055
parameter_name,% Pre-pulse inhibition - PPI3
parameter_id,IMPC_ACS_035_001
analysis_id,rkjrmrt1zqa7437
gene_accession_id,MGI:106100
mouse_life_stage,Early adult
