analysis_id,002j57eu5bmag94
parameter_id,IMPC_ACS_036_001
mouse_strain,C57BL
gene_symbol,Mov10
pvalue,0.9624494
gene_accession_id,MGI:97054
mouse_life_stage,Early adult
parameter_name,% Pre-pulse inhibition - PPI4
