parameter_name,Center resting time
parameter_id,JAX_OFD_015_001
gene_symbol,Rufy4
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.9360824
analysis_id,l929554855q2052
gene_accession_id,MGI:3588214
