analysis_id,5e3m3l95b991ou5
gene_accession_id,MGI:99501
pvalue,0.121716
gene_symbol,Fgb
parameter_id,IMPC_GEL_027_001
mouse_life_stage,E15.5
parameter_name,Neural tube closure
mouse_strain,C57BL
