parameter_name,Contact righting
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1921262
parameter_id,JAXLA_CSD_077_001
analysis_id,vb5rl05718213mo
gene_symbol,Rap2b
pvalue,0.6013237
