analysis_id,95lx59c5r7j6yh1
pvalue,0.1085974
parameter_name,Body weight
parameter_id,M-G-P_009_001_003
gene_symbol,Bach2
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:894679
