analysis_id,3y384i24qm958ph
gene_accession_id,MGI:1915524
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_012_001
pvalue,0.3594617
gene_symbol,Toporsl
parameter_name,Aspartate aminotransferase
mouse_strain,C57BL
