analysis_id,qd3u97520819642
parameter_id,JAX_LDT_004_001
gene_accession_id,MGI:1913483
mouse_strain,C57BL
mouse_life_stage,E12.5
pvalue,0.4435226
parameter_name,Dark side time spent
gene_symbol,Dmap1
