parameter_name,Hindlimbs - shape
parameter_id,JAXLA_CSD_021_001
gene_symbol,Snap23
gene_accession_id,MGI:109356
analysis_id,7bn142k68452186
mouse_strain,C57BL
pvalue,0.542936
mouse_life_stage,Late adult
