analysis_id,8wxm8525o83jr84
gene_symbol,Maco1
parameter_name,Light side time spent
gene_accession_id,MGI:1913396
pvalue,0.3199918
mouse_life_stage,Early adult
parameter_id,JAX_LDT_002_001
mouse_strain,C57BL
