parameter_name,Anophthalmia
parameter_id,IMPC_GEO_048_002
gene_symbol,Lcn2
analysis_id,9250s90n1mwru85
pvalue,0.662934
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:96757
