analysis_id,v62p4b35s071w9z
mouse_strain,C57BL
parameter_id,JAXLA_CSD_041_002
pvalue,0.6799766
mouse_life_stage,E9.5
gene_accession_id,MGI:1913483
gene_symbol,Dmap1
parameter_name,Hindpaw - size
