analysis_id,15799g677234mj6
gene_accession_id,MGI:1929866
mouse_life_stage,Early adult
pvalue,0.4162333
parameter_id,MGP_IMM_110_001
gene_symbol,Rgs20
mouse_strain,C57BL
parameter_name,Transitional 1 B cells - % of CD45+
