gene_symbol,Secisbp2l
analysis_id,necejit064sv663
parameter_name,Haemoglobin
mouse_strain,C57BL
mouse_life_stage,Late adult
pvalue,0.3262077
gene_accession_id,MGI:1917604
parameter_id,ESLIM_016_001_003
