analysis_id,43gl6et2ed492lb
parameter_id,IMPC_XRY_007_001
gene_symbol,Mapkap1
mouse_life_stage,E15.5
parameter_name,Clavicle
pvalue,0.1928875
mouse_strain,C57BL
gene_accession_id,MGI:2444554
