parameter_name,Joints
analysis_id,q97of02805xw6mg
pvalue,0.9431992
gene_symbol,Clvs1
gene_accession_id,MGI:1921688
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_027_001
mouse_strain,C57BL
