parameter_name,Weight
mouse_life_stage,Early adult
mouse_strain,C3H
pvalue,0.9757109
gene_accession_id,MGI:95457
gene_symbol,Mecom
analysis_id,shdi0ek6e5z28d8
parameter_id,M-G-P_005_001_001
