parameter_name,NK cell number
gene_symbol,Dcaf12
parameter_id,MGP_PBI_027_001
mouse_life_stage,Early adult
pvalue,0.7720833
gene_accession_id,MGI:1916220
analysis_id,26mt4gk42kh4qwj
mouse_strain,C57BL
