analysis_id,7r4ep928y0jol0y
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Exd1
pvalue,0.9065258
parameter_id,MGP_IMM_004_001
gene_accession_id,MGI:3045306
parameter_name,Total CD4+ T cells - % of ab T cells
