parameter_name,Fat/Body weight
analysis_id,3z7zzd3mg61e52l
gene_symbol,Ap5s1
parameter_id,JAXLA_DXA_009_001
mouse_strain,C57BL
gene_accession_id,MGI:1916846
mouse_life_stage,Early adult
pvalue,0.2282058
