analysis_id,k25220s258mw886
gene_accession_id,MGI:1914515
parameter_name,Periphery permanence time
mouse_strain,C57BL
pvalue,0.7378559
gene_symbol,Slc39a10
mouse_life_stage,E9.5
parameter_id,IMPC_OFD_012_001
