analysis_id,px7d8n26z8y4vub
parameter_name,DN CD25- NKT cells
parameter_id,IMPC_IMM_025_001
gene_accession_id,MGI:1917604
gene_symbol,Secisbp2l
mouse_strain,C57BL
mouse_life_stage,Late adult
pvalue,0.6840394
