gene_symbol,Bmi1
parameter_id,MGP_IMM_110_001
pvalue,0.6460151
gene_accession_id,MGI:88174
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Transitional 1 B cells - % of CD45+
analysis_id,66b89avtq905v56
