analysis_id,21i82s0d3u3p48w
gene_symbol,Casq1
mouse_life_stage,Early adult
gene_accession_id,MGI:1309468
parameter_name,Lens
mouse_strain,C57BL
parameter_id,IMPC_EYE_016_001
pvalue,0.8652192
