analysis_id,gni5136u8078428
parameter_id,MGP_MLN_076_001
parameter_name,Naive CD8+ T cells - % of CD45+
gene_symbol,Rap2b
gene_accession_id,MGI:1921262
pvalue,0.3262486
mouse_life_stage,Early adult
mouse_strain,C57BL
