parameter_name,Heart weight
gene_symbol,Ppm1j
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1919137
analysis_id,h929kh88567896e
pvalue,0.970663
parameter_id,HMGULA_HWT_008_001
