parameter_name,Iris/Pupil
gene_symbol,Zmynd8
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,g5jv616g6ir1459
parameter_id,IMPC_EYE_010_001
gene_accession_id,MGI:1918025
pvalue,0.5344628
