gene_symbol,Etfdh
mouse_life_stage,Early adult
analysis_id,m4b32de14165083
parameter_id,ESLIM_004_001_701
parameter_name,Glucose response AUC
gene_accession_id,MGI:106100
mouse_strain,C57BL
pvalue,0.604776
