gene_symbol,Toporsl
gene_accession_id,MGI:1915524
parameter_name,Fractional Shortening
mouse_strain,C57BL
parameter_id,IMPC_ECH_005_001
mouse_life_stage,Early adult
pvalue,0.1737454
analysis_id,4nf6o8f9bp97o42
