mouse_strain,C3H
parameter_name,Respiration Rate
parameter_id,IMPC_ECH_018_001
pvalue,0.4172539
gene_accession_id,MGI:95457
analysis_id,f6238ie3qqy747f
gene_symbol,Mecom
mouse_life_stage,Early adult
