analysis_id,q674j0m7592769v
parameter_name,Eosinophils
mouse_life_stage,Early adult
gene_accession_id,MGI:1921688
gene_symbol,Clvs1
parameter_id,IMPC_IMM_052_001
mouse_strain,C57BL
pvalue,0.516042
