parameter_name,Limb morphology
mouse_strain,C57BL
analysis_id,s2f5fw733li0750
mouse_life_stage,Early adult
pvalue,0.1990571
Gene_symbol,Sgip1
parameter_id,IMPC_GEP_084_001
gene_accession_id,MGI:1920344
