analysis_id,li82707g7186mx6
parameter_id,IMPC_HEM_037_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2651854
pvalue,5.294855e-18
gene_symbol,Atg4c
parameter_name,Basophil cell count
