Gene_symbol,Dhdds
Mouse_life_stage,Early adult
gene_accession_id,MGI:1914672
parameter_name,LVIDd
analysis_id,c9fw3l322vip984
pvalue,0.4491207
Parameter_id,IMPC_ECH_008_001
mouse_strain,C57BL
