analysis_id,c7k187078g5oop5
parameter_id,MGP_IMM_100_001
gene_symbol,Slc39a10
parameter_name,Resting NK cells - % of CD45+
pvalue,0.8808403
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1914515
