analysis_id,1dud32l0oavs13g
mouse_strain,C57BL
gene_symbol,Zyg11b
parameter_id,MGP_MLN_058_001
pvalue,0.2675041
mouse_life_stage,Early adult
gene_accession_id,MGI:2685277
parameter_name,Plasmacytoid DC - % of DC
