analysis_id,4ik4chilabneg05
mouse_strain,C57BL
parameter_name,CD8 CD44-CD62L+ T cells
mouse_life_stage,Early adult
gene_symbol,Bmi1
gene_accession_id,MGI:88174
pvalue,0.2741489
parameter_id,IMPC_IMM_034_001
